Acct Number,Posting Date,Billing Date,Transaction Date,Transaction Amount,Transaction Code,Merchant Name,Merchant City,Merchant State,Merchant Category Code,Merchant Type,SIC Code Group Type,Presentation
987654321,11/18/2013,12/16/2013,11/14/2013,30.09,5,ABUELOS INDIANAPOLIS,INDIANAPOLIS,IN,5812,Eating places and Restaurants,Restaurants/Bars,Restaurant
987654321,11/18/2013,12/16/2013,11/15/2013,24.59,5,INDIANAPOLIS ZOO,INDIANAPOLIS,IN,5999,Miscellaneous and Specialty Retail Stores,Other Retail,Retail
987654321,11/18/2013,12/16/2013,11/16/2013,33.55,5,HOT BOX PIZZA - ZIONSV,ZIONSVILLE,IN,5812,Eating places and Restaurants,Restaurants/Bars,Restaurant
987654321,11/18/2013,12/16/2013,11/16/2013,4.58,5,CVS/PHARMACY,CARMEL,IN,5912,Drug Stores and Pharmacies,Drug Stores,Healthcare
987654321,11/19/2013,12/16/2013,11/17/2013,1.44,5,THE HOME DEPOT #2037,CARMEL,IN,5200,Home Supply Warehouse Stores,Interior Furnishing Stores,Housing
987654321,11/19/2013,12/16/2013,11/17/2013,21.48,5,MARSH #021,ZIONSVILLE,IN,5411,Grocery Stores/Supermarkets,Food Stores,Grocery
987654321,11/19/2013,12/16/2013,11/18/2013,26.74,5,EARTH EXPLORER TOYS,ZIONSVILLE,IN,5945,"Hobby, Toy, and Game Shops",Sporting Goods/Toy Stores,Retail
987654321,11/20/2013,12/16/2013,11/18/2013,19.99,5,VILLAGE PANTRY 630     E,ZIONSVILLE,IN,5542,Automated Fuel Dispensers,Gas Stations,Gas
987654321,11/20/2013,12/16/2013,11/18/2013,6.74,5,WENDYS-TFL #0323,CARMEL,IN,5814,Fast Food Restaurants,Restaurants/Bars,Restaurant
987654321,11/20/2013,12/16/2013,11/18/2013,153.69,5,MARSH #021,ZIONSVILLE,IN,5411,Grocery Stores/Supermarkets,Food Stores,Grocery
987654321,11/20/2013,12/16/2013,11/19/2013,32.08,5,TARGET,INDIANAPOLIS,IN,5310,Discount Stores,Discount Stores,Retail
987654321,11/21/2013,12/16/2013,11/19/2013,104.76,5,LAKESHORE LEARNING #66,INDIANAPOLIS,IN,8299,Schools And Educational Services-not Elsewhere Cla,Education,Education
987654321,11/21/2013,12/16/2013,11/19/2013,2,5,CVS/PHARMACY,CARMEL,IN,5912,Drug Stores and Pharmacies,Drug Stores,Healthcare
987654321,11/25/2013,12/16/2013,11/22/2013,11.43,5,AMORE PIZZERIA - ZIONS,ZIONSVILLE,IN,5812,Eating places and Restaurants,Restaurants/Bars,Restaurant
987654321,11/29/2013,12/16/2013,11/26/2013,15.87,5,WENDYS-TFL #0323,CARMEL,IN,5814,Fast Food Restaurants,Restaurants/Bars,Restaurant
987654321,11/29/2013,12/16/2013,11/27/2013,55.57,5,MEIJER #189,DEFIANCE,OH,5542,Automated Fuel Dispensers,Gas Stations,Gas
