Acct Number,Posting Date,Billing Date,Transaction Date,Transaction Amount,Transaction Code,Merchant Name,Merchant City,Merchant State,Merchant Category Code,Merchant Type,SIC Code Group Type,Presentation
654321987,12/3/2013,12/5/2013,12/3/2013,-40,65,PAYMENT - THANK YOU,,,,#N/A,#N/A,#N/A
654321987,1/7/2014,2/4/2014,1/4/2014,165.4,5,S.A.V.E.S. PLLC,WEST LEBANON,NH,742,Veterinary Services,Other Services,Other
654321987,1/28/2014,2/4/2014,1/26/2014,49.48,5,VERMONT CHINA MOON,WHITE RIVER J,VT,5812,Eating places and Restaurants,Restaurants/Bars,Restaurant
654321987,2/5/2014,3/6/2014,2/4/2014,30,5,PERFECT NAILS,WEST LEBANON,NH,7230,Barber and Beauty Shops,Other Services,Other
654321987,2/27/2014,3/6/2014,2/27/2014,-200.63,65,PAYMENT - THANK YOU,,,,#N/A,#N/A,#N/A
654321987,4/2/2014,4/4/2014,4/1/2014,41.39,5,OXBOW  VETERINARY CLIN,BRADFORD,VT,742,Veterinary Services,Other Services,Other
654321987,4/8/2014,5/5/2014,4/6/2014,10,5,SIMPLY CLEAN CAR WASH,BRADFORD,VT,7542,Car Washes,Other Services,Other
654321987,4/22/2014,5/5/2014,4/22/2014,-42,65,PAYMENT - THANK YOU,,,,#N/A,#N/A,#N/A
654321987,6/2/2014,6/4/2014,5/31/2014,-10,65,PAYMENT - THANK YOU,,,,#N/A,#N/A,#N/A
654321987,6/17/2014,7/7/2014,6/15/2014,10,5,SIMPLY CLEAN CAR WASH,BRADFORD,VT,7542,Car Washes,Other Services,Other
654321987,6/17/2014,7/7/2014,6/15/2014,10,5,SIMPLY CLEAN CAR WASH,BRADFORD,VT,7542,Car Washes,Other Services,Other
654321987,7/9/2014,8/15/2014,7/8/2014,34.9,5,UN DUN,WEST LEBANON,NH,5993,Cigar Stores and Stands,Other Retail,Retail
654321987,7/21/2014,8/15/2014,7/21/2014,-20,65,PAYMENT - THANK YOU,,,,#N/A,#N/A,#N/A
654321987,9/16/2014,9/16/2014,9/16/2014,1.75,80,MINIMUM INTEREST CHARGE,,,0,#N/A,#N/A,#N/A
